Input_Khmer,Target_English,Predicted_English,Word_Acc,Char_Acc,F1,CER
បញ្ជិកា,bonhchika,banhchika,0,0.8888888888888888,0.8888888888888888,0.1111111111111111
អូស,ous,ous,1,1.0,1.0,0.0
ដងព្រៃ,dangprey,dongprey,0,0.875,0.875,0.125
ចក្រក្រឹស្ណ,chokrokroesnor,chakrokreroyok,0,0.5714285714285714,0.7857142857142857,0.42857142857142855
ហសនៈ,hosoneak,hosoneak,1,1.0,1.0,0.0
ប្រហោង,brohaong,brohaong,1,1.0,1.0,0.0
វិជលដ្ឋាន,vichlodthan,viklontich,0,0.4545454545454546,0.761904761904762,0.5454545454545454
ឡិមឡុម,laemlom,lemlom,0,0.8571428571428572,0.923076923076923,0.14285714285714285
មេការ,mekar,mekar,1,1.0,1.0,0.0
កំប៉ឺត,kompeut,kompert,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ខ្វាច,khvach,khvach,1,1.0,1.0,0.0
រិះគន់,reskun,risoch,0,0.33333333333333337,0.3333333333333333,0.6666666666666666
ចាត់ចែង,chatchaeng,chachataeng,0,0.7272727272727273,0.9523809523809523,0.3
អាចម៍កុក,aachmokok,aachmokok,1,1.0,1.0,0.0
អវសរ,aovosor,aovosar,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
វិញ,vinh,vinh,1,1.0,1.0,0.0
បង្ហែ,bongheae,bongheae,1,1.0,1.0,0.0
គ្រងរាជ្យ,krongreach,krongoronek,0,0.5454545454545454,0.6666666666666666,0.5
កុណ្ឌី,kondei,kondei,1,1.0,1.0,0.0
ឡាំង,lang,lang,1,1.0,1.0,0.0
ស្លត,slat,slat,1,1.0,1.0,0.0
ហេម្បូពាន្ត,haembopean,hembbipei,0,0.5,0.631578947368421,0.5
ទំហំ,tumhum,tumhoum,0,0.8571428571428572,0.923076923076923,0.16666666666666666
អន្ត្រាក់,aontreak,aantreak,0,0.875,0.875,0.125
ស្គាយ,skay,skay,1,1.0,1.0,0.0
កំប៉ុក,kompok,kampok,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
ទុរយស,turoyos,turoys,0,0.8571428571428572,0.923076923076923,0.14285714285714285
សាទិស,satis,satis,1,1.0,1.0,0.0
ល្ងៀម,lngiem,lngiem,1,1.0,1.0,0.0
ពឹង,pueng,pueng,1,1.0,1.0,0.0
នគរសោភិនី,nokorsaophini,nokorosonthik,0,0.5384615384615384,0.7692307692307693,0.46153846153846156
ព្រះអាទិត្យ,preahatit,preahaatityor,0,0.6923076923076923,0.8181818181818181,0.4444444444444444
អធិមុត្តិ,aathimutte,aathimutte,1,1.0,1.0,0.0
សម្រប,samrob,somrob,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
សំស្ការ,samskar,samsakrar,0,0.7777777777777778,0.8750000000000001,0.2857142857142857
បន្លុង,bonlung,banlung,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ស្នាន,snan,snan,1,1.0,1.0,0.0
អាសវ,aasav,aasav,1,1.0,1.0,0.0
បង្ខំ,bongkhom,bongkhum,0,0.875,0.875,0.125
ខ្ញុំ,knh,khnhum,0,0.5,0.6666666666666666,1.0
ត្រចៀក,trachiek,trochiek,0,0.875,0.875,0.125
អសិរិកា,aaserika,aaserika,1,1.0,1.0,0.0
ហេរញ្ញិក,haeranhnheuk,heranhnhek,0,0.8333333333333334,0.9090909090909091,0.16666666666666666
ស៊ង,song,sorng,0,0.8,0.888888888888889,0.25
សារព័ន,saropoan,sarpoan,0,0.875,0.9333333333333333,0.125
ស្រយូវ,srayuv,sroyuv,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
ល្បុក្កតោ,lbukkotao,lbukkotok,0,0.7777777777777778,0.8888888888888888,0.2222222222222222
តថានុរូប,tathanurub,tatonhourok,0,0.4545454545454546,0.6666666666666666,0.6
រង្គោះ,rongkuoh,rongkous,0,0.625,0.875,0.375
រាបសា,reabosa,reabasa,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ជើង,jerng,chaung,0,0.33333333333333337,0.3636363636363636,0.8
ឧបយុវរាជ,uboyuvoreach,uboyovorich,0,0.75,0.7826086956521738,0.25
ក្រវេច,kravech,krovech,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ប៉ាតឡាត,batalat,batalat,1,1.0,1.0,0.0
ភាវនូបនិស្ស័យ,pheavnubnissai,pheavnipyoustran,0,0.5,0.7333333333333334,0.5714285714285714
អវកដ,aovokod,aovokad,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
អ្នកត្រួសត្រាយ,anakatruostray,anakotrosvoup,0,0.5714285714285714,0.6666666666666666,0.42857142857142855
រាជិនី,reachini,rechinei,0,0.75,0.875,0.25
សម្បុក,sombuk,sambuk,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
បព្វជ្ជាកម្ម,bopvochcheakomm,bapvochcheakamm,0,0.8666666666666667,0.8666666666666667,0.13333333333333333
មហាជន,mhajun,mohachon,0,0.5,0.5714285714285715,0.6666666666666666
ក្សត្រ,ksot,ksotror,0,0.5714285714285714,0.7272727272727273,0.75
មធុរស,mothuros,mothuros,1,1.0,1.0,0.0
បឋម,pakthom,bothom,0,0.5714285714285714,0.6153846153846153,0.42857142857142855
លំហុក,lomhok,lumhok,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
វង្សាអគ្គរាជ,vongseaakkoreach,vongokasatroke,0,0.4375,0.7999999999999999,0.5625
មោក,mouk,mouk,1,1.0,1.0,0.0
ជ្រកម្លប់,jrokmlob,chrokombol,0,0.5,0.7777777777777777,0.625
អសុរ,aosor,aosor,1,1.0,1.0,0.0
ស៊ុបទ្រុប,sobtrub,sobtrob,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ប្រចៀច,brochiech,brochiech,1,1.0,1.0,0.0
ស្លាឈ្មោល,slachhmoul,slachhmol,0,0.9,0.9473684210526316,0.1
ល្មិច,lmich,lmich,1,1.0,1.0,0.0
គិត,kit,kit,1,1.0,1.0,0.0
អាមេណ្ឌន,aamendon,aamendon,1,1.0,1.0,0.0
បញ្ជ្រុល,banhchrul,banhchrul,1,1.0,1.0,0.0
ស្យាម,syam,syam,1,1.0,1.0,0.0
កំហាត់,kamhat,komhat,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
ឧត្តាន,uttan,uttan,1,1.0,1.0,0.0
កំផែង,kamphaeng,komphaeng,0,0.8888888888888888,0.8888888888888888,0.1111111111111111
ចរិយា,chariya,chariyea,0,0.875,0.9333333333333333,0.14285714285714285
ឱះ,aoah,aah,0,0.75,0.8571428571428571,0.25
សាធារណរដ្ឋ,sathearnarodthar,sathreanodeah,0,0.5625,0.8275862068965517,0.4375
អញ្ឆើល,aonhchhaul,aonhchhaul,1,1.0,1.0,0.0
ហ៊ឺៈ,heuak,herork,0,0.5,0.5454545454545454,0.6
ដរាបណា,doreabna,dorbanea,0,0.625,1.0,0.375
វល្លិ,volli,volli,1,1.0,1.0,0.0
វល់,vol,vol,1,1.0,1.0,0.0
បដិកិរិយា,badekeriyea,bodekeriyea,0,0.9090909090909091,0.9090909090909091,0.09090909090909091
ស្គរ,skar,skor,0,0.75,0.75,0.25
ក្រហួង,krohuong,krohuong,1,1.0,1.0,0.0
ពូ,pu,pu,1,1.0,1.0,0.0
កែង,kaeng,kaeng,1,1.0,1.0,0.0
រជ្ជសម័យ,rochchosomey,rochchosomey,1,1.0,1.0,0.0
គីឡូស៊ីក,kilosik,kiriphud,0,0.25,0.39999999999999997,0.8571428571428571
ចេញដំណើរ,chenhdamnaeur,chengtreaeng,0,0.46153846153846156,0.64,0.5384615384615384
ឧបទិស,ubotis,ubotes,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
ត្រឹម,therm,trerm,0,0.8,0.8000000000000002,0.2
ជើងកញ្ជើ,chaungkonhchau,chaungkanhchau,0,0.9285714285714286,0.9285714285714286,0.07142857142857142
ប្រលោះ,braluoh,brolouh,0,0.5714285714285714,0.8571428571428571,0.42857142857142855
ទ្រោប,troub,troub,1,1.0,1.0,0.0
ស្ដូក,sdouk,sdouk,1,1.0,1.0,0.0
ខ្មុល,khmol,khmol,1,1.0,1.0,0.0
ប្រផូរ,brophour,brophour,1,1.0,1.0,0.0
បីបម,beibam,beibam,1,1.0,1.0,0.0
សមភាព,samopheap,somopheap,0,0.8888888888888888,0.8888888888888888,0.1111111111111111
យ៉ង,yong,yong,1,1.0,1.0,0.0
អម្រែក,aomreaek,aamreaek,0,0.875,0.875,0.125
ខ្សុច,khsoch,khsoch,1,1.0,1.0,0.0
ឡិបឡុប,laeplop,leblob,0,0.5714285714285714,0.6153846153846153,0.42857142857142855
ស្អូច,saouch,saoch,0,0.8333333333333334,0.9090909090909091,0.16666666666666666
វិវាហកៅតុក,viveahkautok,viveahakoten,0,0.5833333333333333,0.8333333333333334,0.4166666666666667
គោត្រ,koutrar,koutror,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ព្រឹស្ចិក,prueschek,prerkutek,0,0.4444444444444444,0.6666666666666666,0.5555555555555556
សក្យ,sakyar,sokyor,0,0.6666666666666667,0.6666666666666666,0.3333333333333333
មណ្ឌលគិរី,mondolokiri,mondolukeri,0,0.8181818181818181,0.8181818181818182,0.18181818181818182
ផ្កាឈូក,phkachhuk,phkachuk,0,0.8888888888888888,0.9411764705882353,0.1111111111111111
បូជាយញ្ញ,boucheayonhnh,bouchnheayeak,0,0.46153846153846156,0.7692307692307693,0.5384615384615384
វ៉េសវ៉ាស,vesveas,vesaveas,0,0.875,0.9333333333333333,0.14285714285714285
ឱសធ,aosath,aosoth,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
ក្រអឺត,kraaeut,kraauet,0,0.7142857142857143,1.0,0.2857142857142857
ពេជ្ឈឃាដ,pechchhokhead,pichchhkha,0,0.6923076923076923,0.7826086956521738,0.3076923076923077
ពលិការ,polikar,polikar,1,1.0,1.0,0.0
ធ្វើ,ther,tveah,0,0.4,0.6666666666666665,0.75
ផូក,phuk,phouk,0,0.8,0.888888888888889,0.25
ការប្រើ,karbrer,karbrer,1,1.0,1.0,0.0
ចន្ទោភាស,chantoupheas,chontohapoy,0,0.41666666666666663,0.6956521739130435,0.5833333333333334
សា,sa,sar,0,0.6666666666666667,0.8,0.5
រមួលក្រពើ,romuolkrapau,romuolkropau,0,0.9166666666666666,0.9166666666666666,0.08333333333333333
សាធ,sath,sath,1,1.0,1.0,0.0
កក្អឹក,kokaoek,kokkoe,0,0.7142857142857143,0.923076923076923,0.2857142857142857
សមិន្ធន៍,sominthon,sominthon,1,1.0,1.0,0.0
រញ៉ិបរញ៉ុប,ronhebronhob,ronhebroponh,0,0.6666666666666667,0.9166666666666666,0.3333333333333333
ថ្ងៃ,thngai,thngei,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
ស្របក់,srabak,srobok,0,0.6666666666666667,0.6666666666666666,0.3333333333333333
សន្មតិ,sanmote,somnotei,0,0.5,0.7999999999999999,0.5714285714285714
ចំហុយ,chamhoy,chamhoy,1,1.0,1.0,0.0
អគ្រ,aokror,aokror,1,1.0,1.0,0.0
សំបុកចាប,sambokochab,sambokchab,0,0.9090909090909091,0.9523809523809523,0.09090909090909091
ចរី,chori,chori,1,1.0,1.0,0.0
វណិជ្ជា,vonechchea,vonechchey,0,0.9,0.9,0.1
បច្ឆាចារ្យ,bachchhacharyor,bochchhacharea,0,0.7333333333333334,0.896551724137931,0.26666666666666666
ពាសពេញ,peasopenh,peasphen,0,0.6666666666666667,0.9411764705882353,0.3333333333333333
កន្តាវរ៉ាវ,konteavreav,kontovreav,0,0.8181818181818181,0.8571428571428572,0.18181818181818182
ជជ្រុលជជ្រួស,chochrulchochruos,choluchkrumchaun,0,0.4117647058823529,0.6666666666666667,0.5882352941176471
ថោមវាទី,thaomveati,thaomveati,1,1.0,1.0,0.0
គោត,kout,kout,1,1.0,1.0,0.0
កប៉ាល់,kapal,kopal,0,0.8,0.8000000000000002,0.2
ហេរញ្ញិក,heranhnhirk,heranhnhek,0,0.8181818181818181,0.8571428571428572,0.18181818181818182
ឆ្មា,chma,chhma,0,0.8,0.888888888888889,0.25
បញ្ជត,bonhchot,banhchot,0,0.875,0.875,0.125
បង្សុកូល,bongsukoul,bangsukol,0,0.8,0.8421052631578948,0.2
ឧបការី,ubokari,ubakari,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ម៉ក់ៗ,mok,mok,1,1.0,1.0,0.0
ហ៊ុនហយ,honhory,honhoy,0,0.8571428571428572,0.923076923076923,0.14285714285714285
ស៊ីប៉ារេត,seiparet,seibareat,0,0.7777777777777778,0.823529411764706,0.25
សារសំខាន់,sarsamkhan,sarsomroang,0,0.6363636363636364,0.6666666666666666,0.4
របុំ,robom,robom,1,1.0,1.0,0.0
ប្រាមោទ្យ,bramout,bramout,1,1.0,1.0,0.0
ប្រភាស,bropheas,bropheas,1,1.0,1.0,0.0
ខ្ជើច,khchaeuch,khchaeuch,1,1.0,1.0,0.0
ថាមវន្ត,thamvon,thamvona,0,0.875,0.9333333333333333,0.14285714285714285
ក្ងិចក្ងក់,kngechkngok,kngechkongkor,0,0.7692307692307692,0.9166666666666666,0.2727272727272727
ប៉ផ្ដៀច,baphdiech,bophdech,0,0.7777777777777778,0.823529411764706,0.2222222222222222
ឧយ្យោធិក,uyyouthik,uyouysdei,0,0.33333333333333337,0.6666666666666666,0.6666666666666666
សូភី,souphi,souphi,1,1.0,1.0,0.0
អង្រុត,aangrut,aongrut,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ប៉ិន,ben,pin,0,0.33333333333333337,0.3333333333333333,0.6666666666666666
តម្បៀត,tambiet,tombiet,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ចក់,chak,chak,1,1.0,1.0,0.0
ធ្វេស,thves,thves,1,1.0,1.0,0.0
រាជរដ្ឋាភិបាល,reachrothaphibal,reacholokathirteat,0,0.5,0.7647058823529411,0.5625
អាឃោសន,aakhousan,aakhousan,1,1.0,1.0,0.0
អន្វេស,aonves,aonves,1,1.0,1.0,0.0
អធ្យាស្រ័យ,aothyeasrai,aothyearisay,0,0.6666666666666667,0.9565217391304348,0.36363636363636365
អភិទោស,aaphitous,aophitos,0,0.7777777777777778,0.823529411764706,0.2222222222222222
ថោក,thaok,thork,0,0.6,0.8000000000000002,0.4
អូខេ,oke,aokhei,0,0.5,0.6666666666666666,1.0
ប្រព្រឹត្ត,brobret,bropruett,0,0.6666666666666667,0.75,0.42857142857142855
រៀប,reab,rieb,0,0.5,0.75,0.5
ហានភាគិយ,hanpheakey,hanhobayik,0,0.4,0.7,0.6
មាន់រងាវ,meanorongeav,meanorongvor,0,0.75,0.8333333333333334,0.25
ថ្នាស,thnas,thnas,1,1.0,1.0,0.0
ខ្លាច,klach,khlach,0,0.8333333333333334,0.9090909090909091,0.2
មច្ឆព័ន្ធ,mochchhopoanthor,mochchhopopen,0,0.625,0.7586206896551724,0.375
ស័ក្តិសម,saksom,sakathik,0,0.375,0.42857142857142855,0.8333333333333334
វិរូបក្ខ,virubakkhar,virubkok,0,0.5454545454545454,0.7368421052631579,0.45454545454545453
ថងយ៉ត,thangyat,thongosan,0,0.5555555555555556,0.5882352941176471,0.5
គម្ភីរ,komphi,komphir,0,0.8571428571428572,0.923076923076923,0.16666666666666666
អគុណ,aakun,aokun,0,0.8,0.8000000000000002,0.2
បុស្សរថ,bossoroth,bossoroth,1,1.0,1.0,0.0
ក្រវង់,kravong,krovong,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ខ្ជាប់,khchab,khchab,1,1.0,1.0,0.0
យោជន៍,youchn,youchon,0,0.8571428571428572,0.923076923076923,0.16666666666666666
កង្កែប,kangkeb,kongkeaeb,0,0.6666666666666667,0.8750000000000001,0.42857142857142855
កោសេយ្យវប្បកម្ម,kaoseyvobbokom,kaoseykombon,0,0.6428571428571428,0.8461538461538461,0.35714285714285715
បង្គាវ,bangkeav,bongkeav,0,0.875,0.875,0.125
ក្រនៀវ,kraniev,kroniev,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
ស្គារ,skar,skar,1,1.0,1.0,0.0
សម្បាច់,sombeach,sambeach,0,0.875,0.875,0.125
ប្រឡែង,bralaeng,brolaeng,0,0.875,0.875,0.125
ហត្ថិគោបក,hatthekoubak,hatthekobk,0,0.8333333333333334,0.9090909090909091,0.16666666666666666
សុរិយោដី,soriyoudei,souriyekd,0,0.5,0.8421052631578948,0.5
ផែន,phaen,phaen,1,1.0,1.0,0.0
ស្មោះ,smos,smaoh,0,0.6,0.6666666666666665,0.5
លំដោយ,lomdaoy,lumday,0,0.7142857142857143,0.7692307692307692,0.2857142857142857
អន្ថឺម,aonthueum,aonthueum,1,1.0,1.0,0.0
សំពៅថយ,sampovthoy,sampoutyo,0,0.7,0.8421052631578948,0.3
បោសលាន,baosalean,basamet,0,0.5555555555555556,0.6250000000000001,0.4444444444444444
ប្រតឺងអ៊ឺះ,brateungaoeah,brateungaaeus,0,0.7692307692307692,0.8461538461538461,0.23076923076923078
ឡើងចាង,lerngchang,lerngjeng,0,0.7,0.7368421052631577,0.3
កិច្ចការ,kechka,kechkorch,0,0.5555555555555556,0.6666666666666667,0.6666666666666666
ឡូ,lu,lo,0,0.5,0.5,0.5
ជ្រែ,chreae,chreae,1,1.0,1.0,0.0
ក្ដឿង,kdoeang,kdoeang,1,1.0,1.0,0.0
សុនន្ទា,sonntea,sonontea,0,0.875,0.9333333333333333,0.14285714285714285
វេយ្យាករណ៍,veyyeakor,veyyeakron,0,0.8,0.9473684210526316,0.2222222222222222
ធ្លីង,thling,thling,1,1.0,1.0,0.0
ថាមភាព,thamopheap,thampheap,0,0.9,0.9473684210526316,0.1
អគ្គិ,aokki,aakki,0,0.8,0.8000000000000002,0.2
យក,yor,yok,0,0.6666666666666667,0.6666666666666666,0.3333333333333333
គំនាប់,kumneab,kumneab,1,1.0,1.0,0.0
បព្វៈ,bopveak,bapveak,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
នានាសំវាស,neaneasamveas,neaneasoriyvor,0,0.5,0.5925925925925927,0.5384615384615384
ម្លិះ,mlis,mlier,0,0.6,0.6666666666666665,0.5
ចោរឃាតកម្ម,chaorkheatkamm,chaokrohotakal,0,0.5,0.7857142857142857,0.5
ទឡ្ហការី,tolhakari,tolhakari,1,1.0,1.0,0.0
ល្មួច,lmuoch,lmuoch,1,1.0,1.0,0.0
វិហា,viha,viha,1,1.0,1.0,0.0
ឧបាទិន្នក,ubatinnok,ubatenokan,0,0.6,0.8421052631578948,0.4444444444444444
ឈើត្រង់,chhautrang,chhautrong,0,0.9,0.9,0.1
អបសក្តិ,aabasakte,aobosokte,0,0.6666666666666667,0.6666666666666666,0.3333333333333333
កន្ទ្រាញ,kantreanh,kontreanh,0,0.8888888888888888,0.8888888888888888,0.1111111111111111
សខិលភាសី,sokhelpheasei,sokhelpheasei,1,1.0,1.0,0.0
បរមេស្វរៈ,boromesvoreak,baromevsrak,0,0.6923076923076923,0.8333333333333333,0.3076923076923077
បន្សុទ្ធ,bansutthor,bonsutthor,0,0.9,0.9,0.1
គគ្រុម,kokrum,kokrum,1,1.0,1.0,0.0
ឆ្កឹង,chhkoeng,chhkoeng,1,1.0,1.0,0.0
ឥច្ឆា,ichchha,ichchha,1,1.0,1.0,0.0
កុលាប,kolab,kolab,1,1.0,1.0,0.0
កតញ្ញូ,kotonhnhu,kotonhnhuk,0,0.9,0.9473684210526316,0.1111111111111111
កង្វល់,kangvol,kongdor,0,0.5714285714285714,0.5714285714285714,0.42857142857142855
កំណេះ,kamneh,kamneh,1,1.0,1.0,0.0
ង៉េសៗ,nges,nhes,0,0.75,0.75,0.25
អបុត្តិកា,aabotteka,aobotteka,0,0.8888888888888888,0.8888888888888888,0.1111111111111111
ក្រៀវ,kriev,kriev,1,1.0,1.0,0.0
ខ្ពង់ខ្ពស់,khpongokhpos,khphongkoprey,0,0.5384615384615384,0.8,0.5
ប្រដាន់,bradan,brodan,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
ហនុមាន,honumean,honumean,1,1.0,1.0,0.0
ខ្ចោះ,kjos,khchaoh,0,0.2857142857142857,0.36363636363636365,1.25
ព្រូ,pru,pru,1,1.0,1.0,0.0
ជ្រូកព្រុល,chrukprul,chrukropuch,0,0.5454545454545454,0.7999999999999999,0.5555555555555556
ស្លេវ,slev,slev,1,1.0,1.0,0.0
ភូមា,burma,phumea,0,0.33333333333333337,0.5454545454545454,0.8
ពិចិត្រ,pichetror,pichetrar,0,0.8888888888888888,0.8888888888888888,0.1111111111111111
បសុព្យាបាល,basopyeabal,bosobapeayo,0,0.36363636363636365,0.8181818181818182,0.6363636363636364
ដុស,dos,dos,1,1.0,1.0,0.0
កោប,kaob,kaob,1,1.0,1.0,0.0
ផ្ទាន់,ptorn,phtan,0,0.4,0.6,0.6
ញឹកៗ,nhuek,nhoek,0,0.8,0.8000000000000002,0.2
រៀបចំ,riebjom,reabjom,0,0.7142857142857143,0.8571428571428571,0.2857142857142857
ស្រគុក,srakuk,srokuk,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
ពើប,perb,perb,1,1.0,1.0,0.0
ចក់,chok,chak,0,0.75,0.75,0.25
ច្រកាចច្រកូវ,chrokachchrokouv,chrochakkrachet,0,0.375,0.7741935483870969,0.625
ត្របះ,trobah,trabah,0,0.8333333333333334,0.8333333333333334,0.16666666666666666
ម្នាងសិលា,mniengselea,mneangsila,0,0.6363636363636364,0.8571428571428572,0.36363636363636365
ច្រឡាស,chralas,chrolas,0,0.8571428571428572,0.8571428571428571,0.14285714285714285
អមិតាភៈ,aomitapheak,aamitapheak,0,0.9090909090909091,0.9090909090909091,0.09090909090909091
ស្រូស,srous,srous,1,1.0,1.0,0.0
ឆ្វាច,chhvach,chhvach,1,1.0,1.0,0.0
ប្លឺម,bleum,bleum,1,1.0,1.0,0.0
វីតិក្កម,vitekkom,vikettor,0,0.5,0.75,0.5
កំពីកកំពក,kompikkompok,kompiekkombok,0,0.8461538461538461,0.8799999999999999,0.16666666666666666
ហោមរោង,haomrung,haomrong,0,0.875,0.875,0.125
ខុល,khol,khol,1,1.0,1.0,0.0
ចា៎,ja,jah,0,0.6666666666666667,0.8,0.5
បាហុនកៈ,bahonokak,bahonokok,0,0.8888888888888888,0.8888888888888888,0.1111111111111111
អយស្ការ,aayoskar,aoyoskar,0,0.875,0.875,0.125
ប្រផ្នូល,brophnoul,brophnol,0,0.8888888888888888,0.9411764705882353,0.1111111111111111
ពុតលំញង,putlomnhong,putlomnhong,1,1.0,1.0,0.0
វាយុ,veayu,veayu,1,1.0,1.0,0.0
ប្រញឹក,bronhuek,bronhuk,0,0.875,0.9333333333333333,0.125
រំលំ,rumlom,rumlom,1,1.0,1.0,0.0
តៅហ៊ូ,tauhu,tauhout,0,0.7142857142857143,0.8333333333333333,0.4
តរុណ,torun,torun,1,1.0,1.0,0.0
បន្ទេរ,bonter,bonter,1,1.0,1.0,0.0
ត្រឹក,troek,troek,1,1.0,1.0,0.0
ហេម,hem,hema,0,0.75,0.8571428571428571,0.3333333333333333
ស្រទាង,srateang,srateang,1,1.0,1.0,0.0
ត្បារ,tbar,tbar,1,1.0,1.0,0.0
បារាំង,parang,bareang,0,0.7142857142857143,0.7692307692307692,0.3333333333333333
ក្រណាន់,kronan,kronan,1,1.0,1.0,0.0
កុលាលភាជន៍,koleachpheach,kolleapoat,0,0.46153846153846156,0.608695652173913,0.5384615384615384
ឫក្សពារ,ryksapear,ryksabar,0,0.7777777777777778,0.823529411764706,0.2222222222222222
អក្ខទេវី,aakkhatevi,aokkhotevi,0,0.8,0.8000000000000002,0.2
រំលោក,romlok,rumlouk,0,0.7142857142857143,0.7692307692307692,0.3333333333333333
រខិញ,rokhenh,rokhenh,1,1.0,1.0,0.0
ពិពណ៌នា,pipnrnea,pinbranea,0,0.6666666666666667,0.823529411764706,0.375
តោន,ton,taon,0,0.75,0.8571428571428571,0.3333333333333333
សវិញ្ញាណកៈ,sovinhnheanokak,sonintheangsea,0,0.5333333333333333,0.689655172413793,0.4666666666666667
ជើងពេល,chaungpel,chaungpeae,0,0.8,0.8421052631578948,0.2222222222222222
កញ្ចាស់,konhchas,konhcheas,0,0.8888888888888888,0.9411764705882353,0.125
រន្ធវាសី,ronthoveasei,ronthoveasei,1,1.0,1.0,0.0
អបណ្ណកប្បដិបទា,aabannakabbadebatea,aamocporttlakanhnak,0,0.1578947368421053,0.47368421052631576,0.8421052631578947
វាគារ,veakear,veakar,0,0.8571428571428572,0.923076923076923,0.14285714285714285
ឧបជ្ឈា,ubochchhea,ubochchhea,1,1.0,1.0,0.0
ចន្ទល់,chontol,chanlok,0,0.5714285714285714,0.7142857142857143,0.42857142857142855
ស្មោះសរ,smaohr,smaohros,0,0.75,0.8571428571428571,0.3333333333333333
មនុជាធិបតី,monucheathibatei,monucheathibatei,1,1.0,1.0,0.0
សិក្ខ,sekkhor,sekkhor,1,1.0,1.0,0.0
អានាបាណ,aaneaban,aaneaban,1,1.0,1.0,0.0
អាស,aas,aas,1,1.0,1.0,0.0
ឧន្មាគ៌ា,unmeakrea,unomeakrea,0,0.9,0.9473684210526316,0.1111111111111111
សន្លឹង,sonlueng,sonlueng,1,1.0,1.0,0.0
សុទស្សី,sotssei,sotsusei,0,0.875,0.9333333333333333,0.14285714285714285
ពារាណសី,peareanasei,peareaneas,0,0.7272727272727273,0.9523809523809523,0.2727272727272727
ភ្ញាក់,pnheak,phnheak,0,0.8571428571428572,0.923076923076923,0.16666666666666666
ឱងឡោង,aongolaong,aongoloung,0,0.8,0.9,0.2
